index,filename,source_filename,original_format,arkid,source,owner,license,original_url,family,standardized_species
0,1406027741804nw9sqH0d9j9u2e2p.jpg,1406027741804nw9sqH0d9j9u2e2p.jpg,jpg,4703254d,iDigBio,mnhn,CC BY-NC-ND,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/4703254d.jpg,triportheidae,triportheus angulatus
1,ark-_65665_m36b105a05998941a4bd12f7e8247982fe.jpg,ark-_65665_m36b105a05998941a4bd12f7e8247982fe.jpg,jpg,0w80ns16,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/0w80ns16.jpg,siganidae,siganus canaliculatus
2,"BMNH 1932.6.13.107-112, SYNTYPES, Lates niloticus rudolfianus c-S.jpg","BMNH 1932.6.13.107-112, SYNTYPES, Lates niloticus rudolfianus c-S.jpg",jpg,dr05dd62,iDigBio,nhmuk,CC BY 4.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/nhmuk/dr05dd62.jpg,latidae,lates niloticus
3,15344259938736cvriy1mZHZWJq2v#0.jpg,15344259938736cvriy1mZHZWJq2v.jpg,jpg,76684v19,iDigBio,mnhn,CC BY,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/76684v19.jpg,akysidae,akysis ephippifer
4,15344259938736cvriy1mZHZWJq2v#1.jpg,15344259938736cvriy1mZHZWJq2v.jpg,jpg,76684v19,iDigBio,mnhn,CC BY,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/76684v19.jpg,akysidae,akysis ephippifer
5,15344259938736cvriy1mZHZWJq2v#2.jpg,15344259938736cvriy1mZHZWJq2v.jpg,jpg,76684v19,iDigBio,mnhn,CC BY,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/76684v19.jpg,akysidae,akysis ephippifer
6,15344259938736cvriy1mZHZWJq2v#5.jpg,15344259938736cvriy1mZHZWJq2v.jpg,jpg,76684v19,iDigBio,mnhn,CC BY,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/76684v19.jpg,akysidae,akysis ephippifer
7,154882_Esox_lucius.jpg,154882_Esox_lucius.jpg,jpg,7r679477,iDigBio,mcz,CC BY-NC-SA 3.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mcz/7r679477.jpg,esocidae,esox lucius
8,116122-p#1.jpg,116122-p.jpg,jpg,v142m788,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/v142m788.jpg,anostomidae,synaptolaemus cingulatus
9,68901-p#0.jpg,68901-p.jpg,jpg,pt135040,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/pt135040.jpg,bryconidae,brycon oligolepis
10,68901-p#2.jpg,68901-p.jpg,jpg,pt135040,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/pt135040.jpg,bryconidae,brycon oligolepis
12,68901-p#5.jpg,68901-p.jpg,jpg,pt135040,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/pt135040.jpg,bryconidae,brycon oligolepis
13,CAS-ICH-51275-p_lg#2.jpg,CAS-ICH-51275-p_lg.jpg,jpg,15746f7d,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/15746f7d.jpg,galaxiidae,aplochiton marinus
14,m3da383b06-278e-4ca1-9b3a-49e53a8667b5.jpg,m3da383b06-278e-4ca1-9b3a-49e53a8667b5.jpg,jpg,tr14xs8s,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/tr14xs8s.jpg,gerreidae,pentaprion longimanus
15,ark-_65665_m3f61677a70ff34c74b1511d552d69f27b.jpg,ark-_65665_m3f61677a70ff34c74b1511d552d69f27b.jpg,jpg,ww67k56p,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/ww67k56p.jpg,cheilodactylidae,cheilodactylus vittatus
